Namespace(batch_size=32, dataset='modelnet40', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='dgcnn_vnn', k=20, lr=0.001, model='eqcnn', model_path=None, momentum=0.9, no_cuda=False, num_points=1024, pooling='mean', rot='z', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 2 devices
Train 158, loss: 1.609623, train acc: 0.889862, train avg acc: 0.842072
Test 158, loss: 1.579440, test acc: 0.882496, test avg acc: 0.832965
Train 159, loss: 1.614725, train acc: 0.887622, train avg acc: 0.841571
Test 159, loss: 1.586070, test acc: 0.873582, test avg acc: 0.826709
Train 160, loss: 1.607582, train acc: 0.893322, train avg acc: 0.849865
Test 160, loss: 1.569457, test acc: 0.878849, test avg acc: 0.823145
Train 161, loss: 1.604443, train acc: 0.891694, train avg acc: 0.845288
Test 161, loss: 1.570726, test acc: 0.885737, test avg acc: 0.847779
Train 162, loss: 1.603867, train acc: 0.892101, train avg acc: 0.848133
Test 162, loss: 1.545075, test acc: 0.889789, test avg acc: 0.842727
Train 163, loss: 1.602950, train acc: 0.889556, train avg acc: 0.843050
Test 163, loss: 1.562187, test acc: 0.886548, test avg acc: 0.843895
Train 164, loss: 1.597159, train acc: 0.892508, train avg acc: 0.848550
Test 164, loss: 1.557299, test acc: 0.891005, test avg acc: 0.849076
Train 165, loss: 1.596655, train acc: 0.894340, train avg acc: 0.852858
Test 165, loss: 1.550916, test acc: 0.889384, test avg acc: 0.836558
Train 166, loss: 1.601120, train acc: 0.895664, train avg acc: 0.851207
Test 166, loss: 1.556117, test acc: 0.883306, test avg acc: 0.840983
Train 167, loss: 1.590067, train acc: 0.899023, train avg acc: 0.856614
Test 167, loss: 1.555165, test acc: 0.888979, test avg acc: 0.840116
Train 168, loss: 1.595953, train acc: 0.892406, train avg acc: 0.849365
Test 168, loss: 1.576393, test acc: 0.875203, test avg acc: 0.848849
Train 169, loss: 1.589592, train acc: 0.896376, train avg acc: 0.849909
Test 169, loss: 1.562969, test acc: 0.882496, test avg acc: 0.848581
Train 170, loss: 1.584602, train acc: 0.902382, train avg acc: 0.864359
Test 170, loss: 1.568794, test acc: 0.884927, test avg acc: 0.845919
Train 171, loss: 1.580404, train acc: 0.904520, train avg acc: 0.861571
Test 171, loss: 1.548292, test acc: 0.891005, test avg acc: 0.847192
Train 172, loss: 1.581576, train acc: 0.901160, train avg acc: 0.856746
Test 172, loss: 1.552818, test acc: 0.886548, test avg acc: 0.848407
Train 173, loss: 1.580386, train acc: 0.902687, train avg acc: 0.858813
Test 173, loss: 1.532935, test acc: 0.894652, test avg acc: 0.849192
Train 174, loss: 1.573679, train acc: 0.905741, train avg acc: 0.860006
Test 174, loss: 1.562534, test acc: 0.882901, test avg acc: 0.837099
Train 175, loss: 1.577241, train acc: 0.903094, train avg acc: 0.861460
Test 175, loss: 1.547248, test acc: 0.889384, test avg acc: 0.848779
Train 176, loss: 1.573589, train acc: 0.904112, train avg acc: 0.863449
Test 176, loss: 1.560581, test acc: 0.879660, test avg acc: 0.830622
Train 177, loss: 1.569214, train acc: 0.906148, train avg acc: 0.866066
Test 177, loss: 1.552219, test acc: 0.886143, test avg acc: 0.838448
Train 178, loss: 1.565087, train acc: 0.908286, train avg acc: 0.867540
Test 178, loss: 1.548930, test acc: 0.885737, test avg acc: 0.851692
Train 179, loss: 1.570492, train acc: 0.908693, train avg acc: 0.870755
Test 179, loss: 1.557200, test acc: 0.877634, test avg acc: 0.841116
Train 180, loss: 1.562361, train acc: 0.910322, train avg acc: 0.872409
Test 180, loss: 1.540175, test acc: 0.891410, test avg acc: 0.856942
Train 181, loss: 1.565342, train acc: 0.904927, train avg acc: 0.864278
Test 181, loss: 1.537839, test acc: 0.893436, test avg acc: 0.859151
Train 182, loss: 1.553211, train acc: 0.915615, train avg acc: 0.880241
Test 182, loss: 1.550381, test acc: 0.884927, test avg acc: 0.843285
Train 183, loss: 1.555712, train acc: 0.912968, train avg acc: 0.877689
Test 183, loss: 1.547931, test acc: 0.887358, test avg acc: 0.846791
Train 184, loss: 1.550688, train acc: 0.913070, train avg acc: 0.876398
Test 184, loss: 1.548901, test acc: 0.888169, test avg acc: 0.847942
