Namespace(batch_size=32, class_choice='airplane', dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='dgcnn_vnn_airplane', k=40, lr=0.001, model='eqcnn', model_path='', momentum=0.9, no_cuda=False, num_points=2048, pooling='mean', rot='aligned', scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 3 devices
Test 89, loss: 0.837911, test acc: 0.902039, test avg acc: 0.882377, test iou: 0.799157
Train 90, loss: 0.791923, train acc: 0.940096, train avg acc: 0.932218, train iou: 0.858642
Test 90, loss: 0.834036, test acc: 0.905072, test avg acc: 0.877127, test iou: 0.803135
Train 91, loss: 0.791159, train acc: 0.940983, train avg acc: 0.933123, train iou: 0.860974
Test 91, loss: 0.834452, test acc: 0.906012, test avg acc: 0.881364, test iou: 0.804170
Train 92, loss: 0.790589, train acc: 0.941325, train avg acc: 0.933760, train iou: 0.859540
Test 92, loss: 0.836672, test acc: 0.903677, test avg acc: 0.886371, test iou: 0.775894
Train 93, loss: 0.790107, train acc: 0.941741, train avg acc: 0.933855, train iou: 0.861947
Test 93, loss: 0.835920, test acc: 0.904731, test avg acc: 0.884331, test iou: 0.801044
Train 94, loss: 0.789785, train acc: 0.942053, train avg acc: 0.934610, train iou: 0.863226
Test 94, loss: 0.830493, test acc: 0.908905, test avg acc: 0.889695, test iou: 0.801589
Train 95, loss: 0.789920, train acc: 0.941925, train avg acc: 0.934435, train iou: 0.862180
Test 95, loss: 0.838318, test acc: 0.904056, test avg acc: 0.875325, test iou: 0.800993
Train 96, loss: 0.795031, train acc: 0.937662, train avg acc: 0.929580, train iou: 0.852483
Test 96, loss: 0.841249, test acc: 0.899278, test avg acc: 0.880800, test iou: 0.790084
Train 97, loss: 0.794662, train acc: 0.937841, train avg acc: 0.929848, train iou: 0.854777
Test 97, loss: 0.839538, test acc: 0.902450, test avg acc: 0.870460, test iou: 0.785233
Train 98, loss: 0.791750, train acc: 0.940132, train avg acc: 0.932120, train iou: 0.857380
Test 98, loss: 0.836856, test acc: 0.906569, test avg acc: 0.877715, test iou: 0.799857
Train 99, loss: 0.790254, train acc: 0.941459, train avg acc: 0.934061, train iou: 0.863196
Test 99, loss: 0.831706, test acc: 0.908434, test avg acc: 0.887796, test iou: 0.811217
Train 100, loss: 0.788420, train acc: 0.943018, train avg acc: 0.935375, train iou: 0.866384
Test 100, loss: 0.834130, test acc: 0.906705, test avg acc: 0.886989, test iou: 0.807224
Train 101, loss: 0.787893, train acc: 0.943632, train avg acc: 0.936260, train iou: 0.865771
Test 101, loss: 0.830980, test acc: 0.908464, test avg acc: 0.887239, test iou: 0.800196
Train 102, loss: 0.788321, train acc: 0.943148, train avg acc: 0.935350, train iou: 0.864444
Test 102, loss: 0.832732, test acc: 0.907380, test avg acc: 0.887875, test iou: 0.799173
Train 103, loss: 0.787322, train acc: 0.943893, train avg acc: 0.936530, train iou: 0.866645
Test 103, loss: 0.832950, test acc: 0.907428, test avg acc: 0.881097, test iou: 0.800065
Train 104, loss: 0.786573, train acc: 0.944698, train avg acc: 0.937753, train iou: 0.868943
Test 104, loss: 0.834851, test acc: 0.907357, test avg acc: 0.883998, test iou: 0.805910
Train 105, loss: 0.785866, train acc: 0.945305, train avg acc: 0.937985, train iou: 0.870165
Test 105, loss: 0.831223, test acc: 0.909470, test avg acc: 0.882796, test iou: 0.800728
Train 106, loss: 0.785374, train acc: 0.945680, train avg acc: 0.938159, train iou: 0.871549
Test 106, loss: 0.833287, test acc: 0.908173, test avg acc: 0.893756, test iou: 0.809527
Train 107, loss: 0.784713, train acc: 0.946178, train avg acc: 0.938978, train iou: 0.871682
Test 107, loss: 0.833492, test acc: 0.906639, test avg acc: 0.875196, test iou: 0.799032
Train 108, loss: 0.784403, train acc: 0.946493, train avg acc: 0.938825, train iou: 0.870258
Test 108, loss: 0.828696, test acc: 0.910059, test avg acc: 0.887677, test iou: 0.811489
Train 109, loss: 0.783909, train acc: 0.946999, train avg acc: 0.939838, train iou: 0.872384
Test 109, loss: 0.833687, test acc: 0.906432, test avg acc: 0.887584, test iou: 0.803863
Train 110, loss: 0.784368, train acc: 0.946551, train avg acc: 0.938980, train iou: 0.871820
Test 110, loss: 0.836034, test acc: 0.905684, test avg acc: 0.880611, test iou: 0.800448
Train 111, loss: 0.783924, train acc: 0.946898, train avg acc: 0.939727, train iou: 0.873349
Test 111, loss: 0.834876, test acc: 0.906813, test avg acc: 0.882977, test iou: 0.795275
Train 112, loss: 0.783143, train acc: 0.947642, train avg acc: 0.940317, train iou: 0.875889
Test 112, loss: 0.832527, test acc: 0.909163, test avg acc: 0.882450, test iou: 0.806276
Train 113, loss: 0.783058, train acc: 0.947653, train avg acc: 0.940359, train iou: 0.872166
Test 113, loss: 0.831381, test acc: 0.909704, test avg acc: 0.891377, test iou: 0.792313
Train 114, loss: 0.783016, train acc: 0.947803, train avg acc: 0.940667, train iou: 0.875594
Test 114, loss: 0.834306, test acc: 0.907201, test avg acc: 0.890441, test iou: 0.800597
Train 115, loss: 0.782579, train acc: 0.948185, train avg acc: 0.940991, train iou: 0.876010
Test 115, loss: 0.829973, test acc: 0.910554, test avg acc: 0.885855, test iou: 0.811688
Train 116, loss: 0.783461, train acc: 0.947204, train avg acc: 0.940115, train iou: 0.873662
Test 116, loss: 0.833008, test acc: 0.908573, test avg acc: 0.891843, test iou: 0.804520
Train 117, loss: 0.782097, train acc: 0.948486, train avg acc: 0.940926, train iou: 0.875938
Test 117, loss: 0.831230, test acc: 0.909631, test avg acc: 0.881793, test iou: 0.808978
Train 118, loss: 0.781897, train acc: 0.948612, train avg acc: 0.941702, train iou: 0.877407
Test 118, loss: 0.832757, test acc: 0.909352, test avg acc: 0.887257, test iou: 0.798543
Train 119, loss: 0.781113, train acc: 0.949313, train avg acc: 0.942326, train iou: 0.877575
Test 119, loss: 0.830286, test acc: 0.910570, test avg acc: 0.884500, test iou: 0.811200
Train 120, loss: 0.780309, train acc: 0.950044, train avg acc: 0.943012, train iou: 0.880540
Test 120, loss: 0.833248, test acc: 0.908925, test avg acc: 0.890096, test iou: 0.801254
Train 121, loss: 0.780177, train acc: 0.950191, train avg acc: 0.943110, train iou: 0.880728
Test 121, loss: 0.830414, test acc: 0.911678, test avg acc: 0.886222, test iou: 0.801558
Train 122, loss: 0.780871, train acc: 0.949541, train avg acc: 0.942461, train iou: 0.876722
Test 122, loss: 0.832919, test acc: 0.909496, test avg acc: 0.891447, test iou: 0.803088
Train 123, loss: 0.780354, train acc: 0.949993, train avg acc: 0.943120, train iou: 0.878136
Test 123, loss: 0.832609, test acc: 0.909591, test avg acc: 0.886833, test iou: 0.811895
Train 124, loss: 0.779605, train acc: 0.950653, train avg acc: 0.943469, train iou: 0.880235
Test 124, loss: 0.831097, test acc: 0.911766, test avg acc: 0.886792, test iou: 0.805142
Train 125, loss: 0.780253, train acc: 0.950177, train avg acc: 0.943354, train iou: 0.879586
Test 125, loss: 0.839449, test acc: 0.903794, test avg acc: 0.884609, test iou: 0.801962
Train 126, loss: 0.782664, train acc: 0.948077, train avg acc: 0.940922, train iou: 0.874517
Test 126, loss: 0.831123, test acc: 0.910397, test avg acc: 0.889712, test iou: 0.801168
Train 127, loss: 0.779673, train acc: 0.950578, train avg acc: 0.943487, train iou: 0.879577
Test 127, loss: 0.830084, test acc: 0.911136, test avg acc: 0.891910, test iou: 0.807675
Train 128, loss: 0.778223, train acc: 0.951766, train avg acc: 0.944995, train iou: 0.883012
Test 128, loss: 0.834462, test acc: 0.908079, test avg acc: 0.890710, test iou: 0.804511
Train 129, loss: 0.777671, train acc: 0.952471, train avg acc: 0.945731, train iou: 0.883203
Test 129, loss: 0.830630, test acc: 0.911999, test avg acc: 0.889669, test iou: 0.806496
Train 130, loss: 0.777435, train acc: 0.952652, train avg acc: 0.945951, train iou: 0.885037
Test 130, loss: 0.830903, test acc: 0.911043, test avg acc: 0.887710, test iou: 0.810254
Train 131, loss: 0.777144, train acc: 0.952769, train avg acc: 0.945916, train iou: 0.883236
Test 131, loss: 0.834620, test acc: 0.908540, test avg acc: 0.891654, test iou: 0.805573
